EJERCICIO;GASTO/INGRESO;ORIGEN;FONDO;FINANCIACION;DESCRIPCION CORTA;DESCRIPCION LARGA
2021;G;3;39;39073;AY. PRESERV. PATRI. DIGIT;AYUDAS PRESERVACIÓN PATRIMONIO DIGITAL
2021;G;3;39;39074;BIBLIOTECA VIRTUAL ARAGÓN;BIBLIOTECA VIRTUAL ARAGÓN
2021;G;3;39;39075;CONV.SALUD BUCODENTAL INF;CONVENIO SALUD BUCODENTAL INFANTIL
2021;G;3;39;39076;PROYECTO REALTH - SAS;PROYECTO REALTH - SAS
2021;G;3;39;39077;MARM - PLAN INTEGRAL AGUA;MARM - PLAN INTEGRAL DEL AGUA
2021;G;3;39;39078;CNIG P.N.ORTOFOTO.AEREA;CONV.CNIG PLAN NACIONAL DE ORTOFOTOGRAFÍA AÉREA
2021;G;3;39;39079;SUBV.SP.EMPLEO EST. TXTIL;SUBV. S.P.EMPLEO ESTATAL -ADAP. SCTOR TEXTIL
2021;G;3;39;39080;CONV. I. MUJER PROG.CLARA;CONV. INSTITUTO DE LA MUJER PROGRAMA CLARA
2021;G;3;39;39081;CONV.EDUC.INFANTIL;CONVENIOS EDUCACIÓN INFANTIL (Mº EPSyD)
2021;G;3;39;39082;CONV. EST. C. PALIATIVOS;CONV. ESTRATEGIA CUIDADOS PALIATIVOS
2021;G;3;39;39083;CONV. EST. PARTO NORMAL;CONV. ESTRATEGIA ATENCIÓN PARTO NORMAL
2021;G;3;39;39084;CONV. ACT. VIOLENCIA GEN.;CONV. ACTIVIDADES SOBRE VIOLENCIA DE GÉNERO
2021;G;3;39;39085;CONV. COM. DES. SOST.;CONVENIO COMARCAS DESARROLLO SOSTENIBLE
2021;G;3;39;39086;REDUCCIÓN EMISIONES;REDUCCIÓN EMISIONES GESTIÓN DE RESIDUOS
2021;G;3;39;39087;PRACT. SEGURAS C.SANITARI;IMPULSO PRACTICAS SEGURAS EN CENTROS SANITARIOS
2021;G;3;39;39088;ESTRAT. SALUD MENTAL;ESTRATEGIA DE SALUD MENTAL
2021;G;3;39;39089;PLAN-E DEPENDENCIA;FONDO ESPECIAL PLAN-E DEPENDENCIA
2021;G;3;39;39090;CONV. Mº INDUST. TDT;CONVENIO CON Mº INDUSTRIA TRANSICION TDT
2021;G;3;39;39091;CNV.MICINN FOM.PARQ.CYTÉC;CNV.MICINN FOMENTO PARQ.CIENTÍFICOS Y TECNOLÓGICOS
2021;G;3;39;39092;CONF. SEC. DE IGUALDAD;CONFERENCIA SECTORIAL DE IGUALDAD
2021;G;3;39;39093;PROY. ESCUELA 2.0.;PROYECTO ESCUELA 2.0.
2021;G;3;39;39094;CONVENIO MICINN LMA;CONVENIO MICINN LMA
2021;G;3;39;39095;CONVENIO MINISTERIO DE LA IGUALDAD;CONVENIO MINISTERIO DE LA IGUALDAD
2021;G;3;39;39096;Cº MºED.ACTUAL.TITULO FP;CONVENIO MºEDUCACIÓN.ACTUALIZ. CATÁLOGO TÍTULOS FP
2021;G;3;39;39097;P.REEDUCACIÓN MALTRATADOR;PROGRAMA DE REEDUCACIÓN DE MALTRATADORES
2021;G;3;39;39098;INTERN. CULT. ESPAÑOLA;INTERNACIONALIZACIÓN DE LA CULTURA ESPAÑOLA (MAE)
2021;G;3;39;39099;PROGRAMA ARCE.MºEDUCACIÓN;PROGRAMA ARCE. MINISTERIO DE EDUCACIÓN
2021;G;3;39;39100;CONV. GEST.IT Y CORTA DUR;CONV.ESTRATEG.GESTIÓN IT Y COMP. PROC. CORTA DUR
2021;G;3;39;39101;CONV.AEMPS JORN.INSP.FARM;CONV. AEMPS JORNADAS INSPECC. FARMACÉUTICA
2021;G;3;39;39102;Mº TRAB. CENTRO NAL. REF.;Mº TRABAJO SUBV. CENTRO NAL, REF. FORMACIÓN PROF.
2021;G;3;39;39103;MCI-ESTRATEGIA ESTATAL IN;MCI-ESTRATEGIA ESTATAL INNOVACIÓN
2021;G;3;39;39104;EURIBERIS;EURIBERIS
2021;G;3;39;39105;CONV. CITA CHE RIEGOS;CONV. CITA CHE EVALUACIÓN SIST. RIEGOS CUENCA EBRO
2021;G;3;39;39106;OLIMPIADAS FP;OLIMPIADAS FORMACIÓN PROFESIONAL
2021;G;3;39;39107;FORMACIÓN PERM. PROF.;FORMACIÓN PERMANENTE PROFESORADO
2021;G;3;39;39108;PEAC ACRED. COMPT. PROF.;PEAC PROC. ACREDITACIÓN COMPETENCIAS PROFESIONALES
2021;G;3;39;39109;JUST.GRATUITA E INF.TRIBU;JUSTICIA GRATUITA E INFORMATIZACIÓN DE TRIBUNALES
2021;G;3;39;39110;MICIIN-PNICDIT;MICIIN-PLAN N.INVESTIGACIÓN CIENTIF. DESARR.E INN
2021;G;3;39;39111;SPE SUBV ERE SINTEL;SPE SUBVENCIÓN AFECTADOS ERE SINTEL
2021;G;3;39;39112;DISMINUCIÓN ABANDONO ESC.;PROGRAMA DE DISMINUCIÓN DEL ABANDONO ESCOLAR
2021;G;3;39;39113;MINISTERIO INV. AGROALIME;MINISTERIO INVESTIGACIÓN AGROALIMENTARIA
2021;G;3;39;39114;OTRAS EEPP-INV AGROALIM;OTRAS EEPP-INVESTIGACIÓN AGROALIMENTARIA
2021;G;3;39;39115;HOSPITAL DEL MUNDO;HOSPITAL DEL MUNDO
2021;G;3;39;39116;FONDO ESTATAL DE EMPLEO Y SOSTENIBILIDAD SOCIAL;FONDO ESTATAL DE EMPLEO Y SOSTENIBILIDAD SOCIAL
2021;G;3;39;39117;PLAN DE VIVIENDA 2013-2016;PLAN DE VIVIENDA 2013-2016
2021;G;3;39;39118;PLAN DE INVERSIONES SISTEMA INFORMACIÓN SANITARIA;PLAN DE INVERSIONES SISTEMA INFORMACIÓN SANITARIA
2021;G;3;39;39119;NUEVOS CICLOS DE F.P. BÁSICA;NUEVOS CICLOS DE F.P. BÁSICA
2021;G;3;39;39120;M JUSTICIA PROGRAMA DE REFORMA ADM JUSTICIA;M JUSTICIA PROGRAMA DE REFORMA ADM JUSTICIA
2021;G;3;39;39121;NUEVOS ITINERARIOS 3º Y 4º ESO;NUEVOS ITINERARIOS 3º Y 4º ESO
2021;G;3;39;39122;DIFUSIÓN Y MEJORA DE LA CALIDAD DE LA FP;DIFUSIÓN Y MEJORA DE LA CALIDAD DE LA FP
2021;G;3;39;39123;CONF. SEC. EDU-PROG. NECES. ESPECIF. APOYO EDUCATI;CONF. SEC. EDU-PROG. NECES. ESPECIF. APOYO EDUCATI
2021;G;3;39;39124;CONF. SEC. EDU - PROGRAMA DE CONVIVENCIA ESCOLAR;CONF. SEC. EDU - PROGRAMA DE CONVIVENCIA ESCOLAR
2021;G;3;39;39125;CONF. SEC. EDU - PROGRAMA DE HÁBITOS SALUDABLES;CONF. SEC. EDU - PROGRAMA DE HÁBITOS SALUDABLES
2021;G;3;39;39126;CONF. SEC. EDU - EVALUAC. FINAL ED. PRIMARIA;CONF. SEC. EDU - EVALUAC. FINAL ED. PRIMARIA
2021;G;3;39;39127;PLAN ESTATAL VIVIENDA 2018-2021;PLAN ESTATAL VIVIENDA 2018-2021
2021;G;3;39;39128;Cº.MAPAMA. ACTUACIONES DESCONTAMINACIÓN LINDANO;Cº.MAPAMA. ACTUACIONES DESCONTAMINACIÓN LINDANO
2021;G;3;39;39129;DIAGNÓSTICO ENFERMEDADES RARAS DE BASE GENÉTICA;DIAGNÓSTICO ENFERMEDADES RARAS DE BASE GENÉTICA
2021;G;3;39;39130;ASIST. SANITARIA A REFUGIADOS PROG. REASENTAMIENTO;ASIST. SANITARIA A REFUGIADOS PROG. REASENTAMIENTO
2021;G;3;39;39132;PROGRAMA MOVES;PROGRAMA MOVES
2021;G;3;39;39134;CONVENIO AEMPS PROA;CONVENIO AEMPS PROA
2021;G;3;39;39135;PACTO DE ESTADO VIOLENCIA DE GÉNERO;PACTO DE ESTADO VIOLENCIA DE GÉNERO
2021;G;3;39;39136;PLAN MOVES II;PLAN MOVES II
2021;G;3;39;39137;BONO SOCIAL TÉRMICO;BONO SOCIAL TÉRMICO
2021;G;3;39;39138;PROGRAMA PREE. REHABILITACIÓN;PROGRAMA PREE. REHABILITACIÓN
2021;G;3;39;39139;C.S. EDU. PROGRAMA ORIENTACIÓN EDUC. EMERGENCIA;C.S. EDU. PROGRAMA ORIENTACIÓN EDUC. EMERGENCIA
2021;G;3;39;39140;I PLAN FP PARA CTO. ECONO Y SOCIAL Y EMPLEABILIDAD;I PLAN FP PARA CTO. ECONO Y SOCIAL Y EMPLEABILIDAD
2021;G;3;39;39141;PLAN ACTUACIÓN CTRO. INNOVACIÓN DE LA FP DE ARAGÓN;PLAN ACTUACIÓN CTRO. INNOVACIÓN DE LA FP DE ARAGÓN
2021;G;5;;;OTRAS ADMINISTRACIONES PÚBLICAS;OTRAS ADMINISTRACIONES PÚBLICAS
2021;G;5;51;;DIPUTACIONES PROVINCIALES;DIPUTACIONES PROVINCIALES
2021;G;5;51;51001;MANT. COLEGIOS PÚBLICOS;MANTENIMIENTO COLEGIOS PÚBLICOS
2021;G;5;51;51002;DPT - INVESTIGACIÓN AGROALIMENTARIA;DPT - INVESTIGACIÓN AGROALIMENTARIA
2021;G;5;51;51004;DPZ GESTIÓN FORESTAL;DPZ - ACTIVIDADES GESTIÓN FORESTAL
2021;G;5;51;51005;DPT GESTIÓN FORESTAL;DPT - ACTIVIDADES GESTIÓN FORESTAL
2021;G;5;51;51006;AMPL.RED TTES INSTITUC.;AMPLIACIÓN RED DE TRANSPORTE INSTITUCIONAL
2021;G;5;51;51007;DPH CENTRO TRUFICULTURA;DPH CENTRO DE INVEST. Y EXPER. TRUFICULTURA
2021;G;5;51;51008;DPZ INVESTIGACIÓN AGROALI;TRANSFERENCIA DPZ  INVESTIGACIÓN AGROALIMENTARIA
2021;G;5;51;51009;DPZ PARQ. NAT. Y Z.PROTEG;DPZ PARQUES NATURALES Y ZONAS PROTEGIDAS
2021;G;5;51;51010;DPZ CONVENIO CRIEZ VENTA OLIVAR;DPZ CONVENIO CRIEZ VENTA OLIVAR
2021;G;5;52;;ADMNES. COMARCALES;ADMINISTRACIONES COMARCALES
2021;G;5;52;52001;CONV. PROY. SIGEM;CONVENIO PROYECTO SIGEM
2021;G;5;52;52002;CONVENIO CARTOGRAFÍA COMARCAL;CONVENIO CARTOGRAFÍA COMARCAL
2021;G;5;52;52003;CONVENIOS INVESTIGACIÓN COMARCALES;CONVENIOS INVESTIGACIÓN COMARCALES
2021;G;5;52;52004;CONVENIOS COMARCALES PLAN CONTRA INCENDIOS;CONVENIOS COMARCALES PLAN CONTRA INCENDIOS
2021;G;5;53;;AYUNTAMIENTOS;AYUNTAMIENTOS
2021;G;5;53;53001;AYT. ZAR. COM. ESC.;AYUNTAMIENTO ZARAGOZA COMEDORES ESCOLARES
2021;G;5;55;;C.A. ARAGÓN;COMUNIDAD AUTÓNOMA DE ARAGÓN
2021;G;5;55;55001;SUBV INAEM ESC TALL;SUBVENCIÓN INAEM PARA ESCUELAS TALLER
2021;G;5;55;55002;CONV. CON EL SALUD;CONVENIO INVESTIGACIÓN CON SALUD
2021;G;5;55;55003;SUBV INAEM OR.Y AUTOEMPL.;SUBV INAEM ORIENTACIÓN PROF. EMPLEO Y AUTOEMPLEO
2021;G;5;55;55004;T.IACS ENSAYOS CLÍNICOS;TRANSF.IACS PRODUC.VAR. ENSAYOS CLÍNICOS
2021;G;5;55;55005;FORM. CONTINUA M.I.R;FORMACIÓN CONTINUA DE M.I.R.
2021;G;5;55;55006;GRUPOS DE INVESTIGACIÓN SALUD;GRUPOS DE INVESTIGACIÓN SALUD
2021;G;5;55;55007;PROY.INV.CONV.COMP.DGA;PROY.INVEST.POR CONVOCATORIAS COMPETITIVAS DGA
2021;G;5;55;55008;SUBV INAEM CONTRATAC.;SUBV INAEM CONTRATACIÓN DESEMPLEADOS OBRAS INT GRA
2021;G;5;55;55009;DPTO INV. AGROALIMENTARIA;DEPARTAMENTO INVESTIGACIÓN AGROALIMENTARIA
2021;G;5;55;55010;SUBVENCIÓN INSTITUTO ARAGONÉS DE FOMENTO;SUBVENCIÓN INSTITUTO ARAGONÉS DE FOMENTO
2021;G;5;58;;OTRAS ADMINISTRACIONES PÚBLICAS;OTRAS ADMINISTRACIONES PÚBLICAS
2021;G;5;58;58001;CREACIÓN WEB MEMORIA DEMOCRÁTICA;CREACIÓN WEB MEMORIA DEMOCRÁTICA
2021;G;5;59;;ONU;ORGANIZACIÓN NACIONES UNIDAS
2021;G;5;59;59001;ONU-OMS;ORGANIZACIÓN MUNDIAL DE LA SALUD
2021;G;7;;;ENTES PRIVADOS;ENTES PRIVADOS
2021;G;7;71;;ENTES PRIV.FINAN.;ENTES PRIVADOS FINANCIEROS
2021;G;7;71;71001;C.CAIXA HOGARES MAY.;CONVENIO CAIXA - HOGARES DE MAYORES
2021;G;7;71;71002;CONV.ADQ.FDO BIBLIO.;CONVENIO ADQUISICIÓN DE FONDO BIBLIOGRÁFICO
2021;G;7;71;71003;CONV. IBERCAJA ATLAS VAR.;C. IBERCAJA: ATLAS VAR. PRÁCT. MÉDICA S.NAC.SALUD
2021;G;7;71;71004;PATROCINIO JUEGOS ESCOLAR;PATROCINIO JUEGOS ESCOLARES DE ARAGÓN
2021;G;7;71;71005;CONV. MONAST. DE SIJENA;CONVENIO CAJA MADRID REST. MONAST. SIJENA
2021;G;7;71;71006;CARNÉ JOVEN;CARNÉ JOVEN APORTACIÓN CAI IBERCAJA
2021;G;7;71;71007;CONV. IBERCAJA DEPENDEN.;CONV. IBERCAJA PARA ACTUAC. PERSONAS DEPENDIENTES
2021;G;7;71;71008;LA CAIXA MEDIOAMB Y SOSTE;LA CAIXA MEDIO AMBIENTE Y SOSTENIBILIDAD
2021;G;7;71;71009;CONV. IBERCAJA CENTROS IN;CONVENIO IBERCAJA CENTROS INTERPRETACION
2021;G;7;71;71010;CONV.IBERCAJA GALA DEPORT;CONV. IBERCAJA CELEBRACIÓN GALA DEPORTE ARAGONÉS
2021;G;7;71;71011;CONV. CAI PROGR. EDUC.;CONVENIO CAI PROGRAMAS EDUCATIVOS
2021;G;7;71;71012;CONV. CAIXA CONGRESO ESTATAL VOLUNTARIADO (No oper;CONVENIO CAIXA CONGRESO ESTATAL VOLUNTARIADO (No o
2021;G;7;71;71013;CONVENIO CAIXA. PROTECCIÓN CIVIL;CONVENIO CAIXA. PROTECCIÓN CIVIL
2021;G;7;72;;ENTES PRIV.NO FINAN.;ENTES PRIVADOS NO FINANCIEROS
2021;G;7;72;72001;PROM.FARM.ENSAY;PROMOTORES FARMACÉUTICOS - ENSAYOS CLÍNICOS
2021;G;7;72;72002;PROGRAMAS FOCUSS;PROGRAMAS FOCUSS
2021;G;7;72;72003;ESTUD.GAUCHER;FUND.ESP. ESTUDIO ENFERMEDAD GAUCHER
2021;G;7;72;72004;AS.ESP.TOXICOLOGÍA;ASOCIACIÓN ESPAÑOLA DE TOXICOLOGÍA
2021;G;7;72;72005;FUND.LA MARATO TV3;FUNDACIÓN LA MARATO TV3
2021;G;7;72;72006;FUND.MUTUA MADRIL.;FUNDACIÓN MUTUA MADRILEÑA
2021;G;7;72;72007;PROM.PRIV.CURSOS;PROMOTORES PRIVADOS DE CURSOS
2021;G;7;72;72008;HERENCIA ELÍAS MARTÍNEZ S;HERENCIA ELÍAS MARTÍNEZ SANTIAGO
2021;G;7;72;72009;PROMOTORES PRIVADOS;PROMOTORES PRIV PROY  PROD Y TRANSFERENCIA CONOCIM
2021;G;7;72;72010;HERENC.HOSP.NªSªGRACIA;HERENCIAS HOSPITAL PROVINCIAL Nª SRª DE GRACIA
2021;G;7;72;72011;FECYT AÑO DE LA CIENCIA;FECYT AÑO DE LA CIENCIA
2021;G;7;72;72012;INV. AGROALIMENTARIA PR;FONDOS PARA INV.AGROALIMENTARIA DE ENTID. PRIVADAS
2021;G;7;72;72013;FONDO DE MEJORAS EN MONTES PROPIOS;FONDOS DE MEJORAS EN MONTES PROPIOS
2021;G;7;72;72014;LEGADO PARA CENTRO ASISTENCIAL DE CALATAYUD;LEGADO PARA CENTRO ASISTENCIAL DE CALATAYUD
2021;G;7;72;72015;LEGADO A FAVOR DE LA R.MAYORES JAVALAMBRE;LEGADO A FAVOR DE LA R.MAYORES JAVALAMBRE
2021;G;7;72;72016;FUNDACIÓN INST. INVESTIGACIÓN SANITARIA DE ARAGÓN;FUNDACIÓN INST. INVESTIGACIÓN SANITARIA DE ARAGÓN
2021;G;7;72;72017;DONACIÓN A FAVOR ARCHIVO HISTÓRICO ZARAGOZA;DONACIÓN A FAVOR ARCHIVO HISTÓRICO ZARAGOZA
2021;G;7;72;72018;LEGADO V. DOMÍNGUEZ SEBASTIÁN HOGAR VÁLIDOS TE;LEGADO V. DOMÍNGUEZ SEBASTIÁN HOGAR VÁLIDOS TE
2021;G;7;72;72019;FUNDACIÓN AMANCIO ORTEGA GAONA;FUNDACIÓN AMANCIO ORTEGA GAONA
2021;G;7;72;72020;HERENCIA DE DON JUAN VÁZQUEZ;HERENCIA DE DON JUAN VÁZQUEZ
2021;G;7;72;72021;ACT. FINANCIADAS POR RED ELECTRICA DE ESPAÑA, SAU;ACT. FINANCIADAS POR RED ELECTRICA DE ESPAÑA, SAU
2021;G;7;72;72022;HERENCIA D. RAMÓN GALINDO;HERENCIA D. RAMÓN GALINDO
2021;G;7;72;72023;INDEM. Y OTROS ING. REFORMAS EDIF. VIA UNIV. 36;INDEM. Y OTROS ING. REFORMAS EDIF. VIA UNIV. 36
2021;G;7;72;72024;HERENCIA D. FIDEL GALINDO TORRES;HERENCIA D. FIDEL GALINDO TORRES
2021;G;9;;;RECURSOS PROPIOS;RECURSOS PROPIOS
2021;G;9;91;;RECURSOS PROPIOS;RECURSOS PROPIOS
2021;G;9;91;91001;RECURSOS PROPIOS COFIN;RECURSOS PROPIOS COFINANCIADORES
2021;G;9;91;91002;RECURSOS PROPIOS;RECURSOS PROPIOS
2021;G;9;91;91004;RMTE.TES.NO AFEC.;REMANENTE DE TESORERÍA NO AFECTADO
2021;G;9;91;91005;DEUDA SANITARIA;DEUDA SANITARIA
2021;G;9;91;91006;RP FINANCIACIÓN TOP UP;RECURSO PROPIO FINANCIACIÓN TOP UP
2021;G;9;91;91019;COVID-19;COVID-19
2021;G;9;91;91101;REC PROPIOS COF P.IMPULS;RECURSOS PROPIOS COFINANCIADORES PLAN IMPULSO
2021;G;9;91;91102;REC PROPIOS P.IMPULSO;RECURSOS PROPIOS PLAN IMPULSO
2021;G;9;91;91218;REC. PROPIOS COFINANCIADO FITE 2018;REC. PROPIOS COFINANCIADO FITE 2018
2021;G;9;91;91219;REC. PROPIOS COFINANCIADO FITE 2019;REC. PROPIOS COFINANCIADO FITE 2019
2021;G;9;91;91220;REC. PROPIOS COFINANCIADO FITE 2020;REC. PROPIOS COFINANCIADO FITE 2020
2021;G;9;91;91221;REC. PROPIOS COFINANCIADO FITE 2021;REC. PROPIOS COFINANCIADO FITE 2021
2021;I;1;;;UNIÓN EUROPEA;UNIÓN EUROPEA
2021;I;1;11;;FONDO SOCIAL EUROPEO;FONDO SOCIAL EUROPEO
2021;I;1;11;11099;FSE P. OPERAT. ANTER 2007;FSE PROG. OPERATIVOS ANTERIORES 2007
2021;I;1;11;11101;PROG.OP. FSE 2007-2013;PROGRAMA OPERATIVO FONDO SOCIAL EUROPEO 2007-2013
2021;I;1;11;11201;PROG.OP. FSE 2014-2020;PROGRAMA OPERATIVO FONDO SOCIAL EUROPEO 2014-2020
2021;I;1;12;;FEAGA  - FEADER;FEAGA  - FEADER
2021;I;1;12;12101;FEAGA GARANTÍA;FEAGA  GARANTÍA
2021;I;1;12;12102;FEADER 2007-2013;FEADER 2007-2013
2021;I;1;12;12202;FEADER 2014-2020;FEADER 2014-2020
2021;I;1;13;;FEOGA ORIENTACIÓN;FEOGA ORIENTACIÓN
2021;I;1;14;;F.E.D.E.R.;F.E.D.E.R.
2021;I;1;14;14099;FEDER P.OPERA. ANTER 2007;FEDER PROG. OPERATIVOS ANTERIORES 2007
2021;I;1;14;14101;PROG.OP. FEDER 2007-2013;PROGRAMA OPERATIVO FEDER 2007-2013
2021;I;1;14;14102;PROG. COOP. TRANSFRONTERI;PROGRAMA DE COOPERACIÓN TRANSFRONTERIZA
2021;I;1;14;14103;FEDER 2007-2013 PROY HITO;Programa Operativo FEDER 2007-2013 proyecto HITO
2021;I;1;14;14104;PROG. COOP. INTERREGIONAL;PROGRAMA DE COOPERACIÓN INTERRREGIONAL
2021;I;1;14;14105;PROG.COMUNIT. 2007-2013 POCTEFA EFA200/11. CULTURA;PROG.COMUNIT. 2007-2013 POCTEFA EFA200/11. CULTURA
2021;I;1;14;14106;Prog. Interreg. Europe FEDER;Prog. Interreg. Europe FEDER
2021;I;1;14;14201;PROG.OP. FEDER 2014-2020;PROGRAMA OPERATIVO FEDER 2014-2020
2021;I;1;14;14202;POCTEFA 2014-2020;POCTEFA 2014-2020
2021;I;1;14;14203;POCTEFA - ECOGYP;POCTEFA - ECOGYP
2021;I;1;14;14204;POCTEFA - HABIOS;POCTEFA - HABIOS
2021;I;1;14;14205;INTERREG SUDOE Praderas;INTERREG SUDOE Praderas
2021;I;1;14;14206;POCTEFA - Ordesa;POCTEFA - Ordesa
2021;I;1;14;14207;INTERREG SUDOE 2014-2020;INTERREG SUDOE 2014-2020
2021;I;1;14;14208;INTERREG EUROPE 2014-2020;INTERREG EUROPE 2014-2020
2021;I;1;14;14209;EUROPA REACT-UE;EUROPA REACT-UE
2021;I;1;15;;IFOP - FEP;INSTR.FINANC. ORD. PESQUERA - FDO EUROPEO PESCA
2021;I;1;15;15101;FONDO EUROPEO DE PESCA;FONDO EUROPEO DE PESCA
2021;I;1;16;;FONDOS DE COHESIÓN;FONDOS DE COHESIÓN
2021;I;1;16;16001;FONDO DE COHESIÓN;FONDO DE COHESIÓN
2021;I;1;19;;OTRA FINANCIACIÓN EUROPEA;OTRA FINANCIACIÓN EUROPEA
2021;I;1;19;19001;U E  PUNTO INF EUROP;UNION EUROPEA  (PUNTO INFORMACIÓN EUROPEA)
2021;I;1;19;19002;CONV UE PRUEBAS COMP;CONVENIO UE PRUEBAS COMPARATIVAS
2021;I;1;19;19003;PROGRAMA LIFE;PROGRAMA LIFE
2021;I;1;19;19004;F. E. ADAPTACIÓN GLOBALIZ;FONDO EUROPEO DE ADAPTACIÓN A LA GLOBALIZACIÓN
2021;I;1;19;19005;CONVENIO BEI;CONVENIO BEI
2021;I;1;19;19006;PROYECTO EUROPEO GRIAL;PROYECTO EUROPEO GRIAL
2021;I;1;19;19007;PROGRAMA LIFE SURFING;PROGRAMA LIFE SURFING
2021;I;1;19;19008;PROYECTO MATILDE;PROYECTO MATILDE
2021;I;1;19;19009;MECANISMO CONECTAR EUROPA;MECANISMO CONECTAR EUROPA
2021;I;1;19;19090;OTROS PROGRAMAS UE;OTROS PROGRAMAS CON FINANCIACION UE
2021;I;3;;;ADMINISTR. CENTRAL;ADMINISTRACIÓN CENTRAL
2021;I;3;31;;Mº JUSTICIA;Mº JUSTICIA
2021;I;3;31;31000;ADICIONAL INV. JUSTICIA;ADICIONAL INVERSIONES DE ADMON. DE JUSTICIA
2021;I;3;32;;PLANES ESPECÍFICOS;PLANES ESPECÍFICOS
2021;I;3;32;32100;PLAN MINER;PLAN MINER
2021;I;3;32;32200;FONDO ESP TERUEL;FONDO ESPECIAL TERUEL
2021;I;3;32;32218;FONDO ESPECIAL DE TERUEL (FITE 2018);FONDO ESPECIAL DE TERUEL (FITE 2018)
2021;I;3;32;32219;FONDO ESPECIAL DE TERUEL (FITE 2019);FONDO ESPECIAL DE TERUEL (FITE 2019)
2021;I;3;32;32220;FONDO ESPECIAL DE TERUEL (FITE 2020);FONDO ESPECIAL DE TERUEL (FITE 2020)
2021;I;3;32;32221;FONDO ESPECIAL DE TERUEL (FITE 2021);FONDO ESPECIAL DE TERUEL (FITE 2021)
2021;I;3;32;32300;DES. SOST. MEDIO RURAL;DESARROLLO SOSTENIBLE EN EL MEDIO RURAL
2021;I;3;33;;CONF SECT DE EMPLEO;C.S. DE EMPLEO
2021;I;3;33;33002;C.S.EMPLEO- MOD. SPE;C.S.EMPLEO - MODERNIZACIÓN SERVICIO PÚBLICO EMPLEO
2021;I;3;33;33003;C.S.EMPLEO- MINISTERIO EMPLEO Y SEGURIDAD SOCIAL;C.S.EMPLEO- MINISTERIO EMPLEO Y SEGURIDAD SOCIAL
2021;I;3;33;33004;C.S.EMPLEO- F.P.  EMPLEO;C.S.EMPLEO - FORMACIÓN PROFESIONAL PARA EMPLEO
2021;I;3;33;33005;C.S.EMPLEO- FOMENTO EMPLEO;C.S.EMPLEO - FOMENTO EMPLEO
2021;I;3;33;33006;C.S.EMPLEO- PLAN EXTR. B1;C.S.EMPLEO - PLAN EXTRAORDINARIO BLOQUE 1
2021;I;3;33;33007;C.S.EMPLEO- PLAN EXTR. B2;C.S.EMPLEO - PLAN EXTRAORDINARIO BLOQUE 2
2021;I;3;33;33008;C.S. EMPLEO-REDTRABAJA@;C.S. EMPLEO-REDTRABAJA@
2021;I;3;33;33009;C.S.EMPLEO- ACUERDO MARCO AGENCIAS COLOCACIÓN;C.S.EMPLEO- ACUERDO MARCO AGENCIAS COLOCACIÓN
2021;I;3;33;33010;CS EMPLEO-Ren. instalaciones oficinas empleo;CS EMPLEO-Ren. instalaciones oficinas empleo
2021;I;3;34;;CONF SECT DE AGRIC.;C.S. DE AGRICULTURA
2021;I;3;34;34001;CSA NAC COMPLEM PAC;C.S. AGRICULTURA - AYUDAS NACIONALES COMPLEM. PAC
2021;I;3;34;34002;CSA ABAND PR LECHERA;C.S. AGRICULTURA - PROG. ABANDONO PROD. LECHERA
2021;I;3;34;34003;CSA COMPET AGRARIA;C.S. AGRICULTURA - MEJORA COMPETITIVIDAD AGRARIA
2021;I;3;34;34004;CSA AGROAMBIENTALES;C.S. AGRICULTURA - MEDIDAS AGROAMBIENTALES
2021;I;3;34;34005;CSA AYU PER FRUT SEC;C.S. AGRICULTURA - AYUDA PERMANENTE FRUTOS SECOS
2021;I;3;34;34006;CSA PROGRAMA APICOLA;C.S. AGRICULTURA - PROGRAMA APICOLA
2021;I;3;34;34007;CSA INDUSTRIAS AGRO;C.S. AGRICULTURA - APOYO INDUSTRIAS AGROALIMENT.
2021;I;3;34;34008;CSA FIN ASOC AGRARIO;C.S. AGRICULTURA - FINANCIACION ASOCIAC. AGRARIO
2021;I;3;34;34009;CSA AGRUP PROD AGRAR;C.S. AGRICULTURA - AGRUP. PRODUCTORES AGRARIOS
2021;I;3;34;34010;CSA IFOP;C.S. AGRICULTURA - FONDO PROGRAMA IFOP
2021;I;3;34;34011;CSA ASOC RAZAS AUTOC;C.S. AGRICULTURA - APOYO ASOC. RAZAS AUTÓCTONAS
2021;I;3;34;34012;CSA SANIDAD ANIMAL;C.S. AGRICULTURA - PROGRAMA SANIDAD ANIMAL
2021;I;3;34;34013;CSA ENF PORCINAS;C.S. AGRICULTURA - PROGRAMA ENFERMEDADES PORCINAS
2021;I;3;34;34014;CSA IDENTIF ANIMAL;C.S. AGRICULTURA - IDENTIFICACION ANIMAL
2021;I;3;34;34015;CSA SEM PLANT VIVER;C.S. AGRICULTURA - SEMILLAS Y PLANTAS DE VIVEROS
2021;I;3;34;34016;CSA CONV ID FRUTALES;C.S. AGRICULTURA - CONV. IDENTIFICACIÓN FRUTALES
2021;I;3;34;34017;CSA LUCH CONT AG NOC;C.S. AGRICULTURA - LUCHA CONTRA AGENTES NOCIVOS
2021;I;3;34;34018;CSA PREV PLAGAS;C.S. AGRICULTURA - PREVENCION DE PLAGAS
